Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude,pct_female_named_streets,pct_female_pop
"MULTILINESTRING ((-73.95303907799996 40.80843824900006, -73.95250995199996 40.808224159000076, -73.95285128799998 40.80774084900003, -73.95277085699996 40.80667383100007, -73.95356921199993 40.80699686100007, -73.95298628399996 40.80773787100003, -73.95303907799996 40.80843824900006))",Int. No. 22,07/29/2002,2002,2002/019,Street,Manhattan,Harriet Tubman Square,,Female,"The following biography was provided by “Spectrum: Home and School Magazine.” 

Harriet Tubman was born Harriet Ross in Dorchester County, Maryland in 1820. Her parents were from the Ashanti tribe of West Africa, and they worked as slaves on the Brod","the portions of Frederick Douglass Boulevard and St. Nicholas Avenue, extending from West 120th Street to West 122nd Street",10027,"Perkins, Lopez, Comrie, Davis, Foster, Koppell, Stewart, Weprin, Brewer and Barron also Council Members Baez, Gioia, Nelson, Vann, and Clarke",,"MULTILINESTRING ((-73.95303907799996 40.80843824900006, -73.95250995199996 40.808224159000076, -73.95285128799998 40.80774084900003, -73.95277085699996 40.80667383100007, -73.95356921199993 40.80699686100007, -73.95298628399996 40.80773787100003, -73.95303907799996 40.80843824900006))",POINT (-73.95297834313676 40.807534257675236),40.80753425767523,-73.95297834313676,26.5%,52%
"MULTILINESTRING ((-73.94301511099997 40.81589794900003, -73.94055284299998 40.81487485500003))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Manhattan,Madam C.J. & A’Lelia Walker Place,136th Street,Female,"Madam C.J. Walker was an African-American businesswoman, hair care entrepreneur and philanthropist.  She developed and marketed a successful line of beauty and hair care products and founded the Madam C.J. Walker Manufacturing Company.  Her business succ",Between Adam Clayton Powell Jr. Boulevard and Lenox Avenue,10037,Dickens,,"MULTILINESTRING ((-73.94301511099997 40.81589794900003, -73.94055284299998 40.81487485500003))",POINT (-73.94178397699997 40.81538640200003),40.81538640200003,-73.94178397699997,26.5%,52%
"MULTILINESTRING ((-73.82732744999998 40.83061195300007, -73.82663305599993 40.83095696500004))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Bronx,Marge Jeffries Way,Barkley Avenue,Female,"Marguerite “Marge” Jeffries was born on January 21, 1934.  Marge Jeffries was a longtime community activist on in Bronx Community Board No.  10.  She served as a member of the Community Board for 13 years, being elected as the Chair of the Parks Comm",Between East Tremont Avenue and Revere Avenue,10465,Provenzano,,"MULTILINESTRING ((-73.82732744999998 40.83061195300007, -73.82663305599993 40.83095696500004))",POINT (-73.82698025299996 40.83078445900006),40.83078445900006,-73.82698025299996,25.5%,53%
"MULTILINESTRING ((-73.95338598499995 40.63832467300006, -73.95211998199994 40.63718486400006))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Brooklyn,Aracely Courtenay Way,Flatbush Avenue,Female,Aracely Courtenay served as the assistant pastor in Emmanuel Church of God. She spent eight years working in property management and coordinated housing for families with low incomes. She was in charge of the Talitha Cumi Women’s Ministry. She was hit,Between Foster Avenue and East 26th Street,11210,Louis,,"MULTILINESTRING ((-73.95338598499995 40.63832467300006, -73.95211998199994 40.63718486400006))",POINT (-73.95275298349995 40.63775476850006),40.63775476850006,-73.95275298349995,22.1%,52%
"MULTILINESTRING ((-73.88470675699995 40.74453263700008, -73.88503935099999 40.744052244000045))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Queens,Luz Colon Place,Baxter Avenue,Female,"Luz. C. Colon was born in Mayaquez, Puerto Rico and raised East Harlem attended grammer school at JHS in the East Harlem community, receiving a Bachelor’s degree from John Jay College, majoring in deviant behavior with a minor in Sociology.  Luz worked",between Broadway and Layton Street,11373,Monserrate,,"MULTILINESTRING ((-73.88470675699995 40.74453263700008, -73.88503935099999 40.744052244000045))",POINT (-73.88487305399997 40.74429244050006),40.74429244050006,-73.88487305399997,17.6%,51%
"MULTILINESTRING ((-73.91422574499995 40.75929681400004, -73.91382490299998 40.75867828200006))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Dolma Naadhun Way,Newtown Road,Female,"Newtown Rd and 45th St has always been identified as a dangerous intersection by neighbors and communities who live there.  However, no concrete action was taken to make the street safer as DOT identifies this location as low-crash history. Unfortunately",Between 45th Street and 44th Street,11103,Won,,"MULTILINESTRING ((-73.91422574499995 40.75929681400004, -73.91382490299998 40.75867828200006))",POINT (-73.91402532399997 40.75898754800005),40.75898754800005,-73.91402532399997,17.6%,51%
"MULTILINESTRING ((-74.15311756099999 40.62569730700005, -74.15294053599996 40.62688820500006, -74.15282175699997 40.62768724800003, -74.15266159899994 40.62876464000004, -74.15251674699994 40.62983380500003, -74.15234881999999 40.630963422000036, -74.15212128699994 40.63249397100003, -74.15194472399997 40.63368163500007, -74.15178885599994 40.63463533200007, -74.15162133999996 40.63566028100007, -74.15148141699996 40.63651639500006, -74.15141376999998 40.63693028400007))",Int. No. 822,12/04/2001,2001,2001/060,Street,Staten Island,Kathy Kiernan Way,Simonson Avenue,Female,"The following biographical information was provided by Daytop Village, Inc. Staten Island Outreach, a drug-free therapeutic community facility on Staten Island. 

Kathy Kiernan was born on October 29, 1948.  Although she lived in Brooklyn, she called Sta",Between Forest Avenue and Richmond Terrace,10303,O’Donovan  and Abel,,"MULTILINESTRING ((-74.15311756099999 40.62569730700005, -74.15294053599996 40.62688820500006, -74.15282175699997 40.62768724800003, -74.15266159899994 40.62876464000004, -74.15251674699994 40.62983380500003, -74.15234881999999 40.630963422000036, -74.15212128699994 40.63249397100003, -74.15194472399997 40.63368163500007, -74.15178885599994 40.63463533200007, -74.15162133999996 40.63566028100007, -74.15148141699996 40.63651639500006, -74.15141376999998 40.63693028400007))",POINT (-74.15228481904805 40.63131674952371),40.63131674952371,-74.15228481904805,17.5%,51%
"MULTILINESTRING ((-74.01223655499996 40.677932025000075, -74.01175912199994 40.67833885300007))",Int. No. 988,07/29/2018,2018,2018/139,Street,Brooklyn,Sue Amendola Way,Van Brunt Street,Female,"Sue Amendola was an active member of the Red Hook Community for over 70 years.  She held leadership positions in the Ladies Auxiliary of the VFW NY Post 5195, Visitation of the Blessed Virgin Mary Church and the Red Hook Civic Association.  She led effor",Between King Street and Sullivan Street,11231,Menchaca,,"MULTILINESTRING ((-74.01223655499996 40.677932025000075, -74.01175912199994 40.67833885300007))",POINT (-74.01199783849995 40.67813543900007),40.67813543900007,-74.01199783849995,22.1%,52%
"MULTILINESTRING ((-73.87354078399994 40.75680909400006, -73.86568727599996 40.75763803800004, -73.86467876599994 40.75769086300005, -73.85898175399996 40.757898097000066))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Queens,Helen Marshall Blvd,Northern Boulevard,Female,Helen Marshall founded and was the director of the Langston Hughes Library on Northern Boulevard in 1969.  She served in the State Assembly for eight years and then served on the City Council for 10 years.  She became the first African-America and the se,Between 94th Street and 111th Street,11368,Ferreras-Copeland,,"MULTILINESTRING ((-73.87354078399994 40.75680909400006, -73.86568727599996 40.75763803800004, -73.86467876599994 40.75769086300005, -73.85898175399996 40.757898097000066))",POINT (-73.86627003714968 40.75747684843977),40.75747684843977,-73.86627003714968,17.6%,51%
"MULTILINESTRING ((-73.71107611499997 40.744758224000066, -73.71044847799999 40.74309187500006))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Queens,Ghanwatti Boodram Way,260th Street,Female,"Ghanwatti Boodram was killed when a Con Ed explosion took place on 260th Street between 80th and 81st Avenues in Floral Park, Queens.  She was in her home when it exploded.  Thousands of people in New York, Canada, England and her native Guyana mourned h",Between 80th Avenue and 81st Avenue,11004,Weprin,,"MULTILINESTRING ((-73.71107611499997 40.744758224000066, -73.71044847799999 40.74309187500006))",POINT (-73.71076229649998 40.74392504950006),40.74392504950006,-73.71076229649998,17.6%,51%
