Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude,pct_male_named_streets,pct_male_pop
"MULTILINESTRING ((-73.97119481799996 40.79271447700006, -73.96859039299994 40.79161386000004))",Int. No. 825,10/10/2008,2008,2008/048,Street,Manhattan,James D. Garst Way,South side of West 94th Street,Male,"James D. Garst was a longtime advocate for affordable housing, serving as founder of the New York State Tenants and Neighbors Coalition, and was a longtime Board member of the Mitchell-Lama Council.  Mr. Garst was also a member of the Merchant Marines.",Between Columbus Avenue and Amsterdam Avenue,10025,Brewer,,"MULTILINESTRING ((-73.97119481799996 40.79271447700006, -73.96859039299994 40.79161386000004))",POINT (-73.96989260549995 40.79216416850005),40.79216416850005,-73.96989260549995,53.4%,48%
"MULTILINESTRING ((-73.87603364599994 40.84205561600004, -73.87469254099994 40.84157673900006))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Bronx,Supervising Fire Dispatcher Dennis Patrick O’ Connell Place,East 180th Street,Male,"Dennis Patrick O’ Connell was a lifelong resident of the Bronx and at age 11 became the president of the FDNY Explorer Post 588 and rode with Engine 88 during the “Bronx is Burning Years.”  In 1973, he chose to serve on the FDNY as a Fire Alarm Dis",Between Bronx Park Avenue and Devoe Avenue,10460,Rivera,,"MULTILINESTRING ((-73.87603364599994 40.84205561600004, -73.87469254099994 40.84157673900006))",POINT (-73.87536309349994 40.84181617750005),40.84181617750005,-73.87536309349994,64.7%,47%
"MULTILINESTRING ((-73.78751479699997 40.773209345000055, -73.78742226099996 40.773355594000066, -73.78732972499995 40.77348965500005, -73.78714599399996 40.77366332500003, -73.78694885099998 40.773806526000044, -73.78676109699995 40.77390910300005, -73.78660821099999 40.773982226000044, -73.78637083499996 40.77405839700003, -73.78619917399999 40.77410206800005, -73.78602482999997 40.77412644200007, -73.78587502799996 40.77414738600004))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Queens,Ron Carey Avenue,28th Avenue,Male,Ron Carey was a highly regarded member of his community and influential President of the Teamsters Union who succeeded in championing the rights of union workers and reforming the union to better represent its members.,Between 203rd and 206th Streets,11360,Avella,,"MULTILINESTRING ((-73.78751479699997 40.773209345000055, -73.78742226099996 40.773355594000066, -73.78732972499995 40.77348965500005, -73.78714599399996 40.77366332500003, -73.78694885099998 40.773806526000044, -73.78676109699995 40.77390910300005, -73.78660821099999 40.773982226000044, -73.78637083499996 40.77405839700003, -73.78619917399999 40.77410206800005, -73.78602482999997 40.77412644200007, -73.78587502799996 40.77414738600004))",POINT (-73.78677685323456 40.77381243629474),40.77381243629474,-73.78677685323456,63.1%,49%
"MULTILINESTRING ((-73.89871490799999 40.84388430200005, -73.89935595599997 40.84271351500007, -73.89967414299997 40.842132382000045, -73.90014184399996 40.84132152900003, -73.90055768299999 40.84060058000006, -73.90089990799999 40.83997552500006, -73.90172388199994 40.838546947000054))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Bronx,Marshall C. England Way,Bathgate Avenue,Male,"Marshall C. England was born on October 27, 1932, in Thomasville, Alabama, to Reverend L.T. England, Sr. and Mrs. Daisy Bronx England. He grew up in Alabama and graduated from Alabama A&M University. After serving a hitch in the United States Army, Mr. E",Between the Cross Bronx Expressway and Claremont Parkway,10457,Rivera,,"MULTILINESTRING ((-73.89871490799999 40.84388430200005, -73.89935595599997 40.84271351500007, -73.89967414299997 40.842132382000045, -73.90014184399996 40.84132152900003, -73.90055768299999 40.84060058000006, -73.90089990799999 40.83997552500006, -73.90172388199994 40.838546947000054))",POINT (-73.90020874224969 40.841209636944086),40.841209636944086,-73.90020874224969,64.7%,47%
"MULTILINESTRING ((-73.90492505999998 40.87899018100006, -73.90571899399998 40.879391723000026))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Bronx,Chuck Seidner Way,West 231st Street,Male,"Charles “Chuck” Seidner was an old fashioned type of guy, honest, hard working, dedicated and a good family man. Born on October 22, 1942, he later resided in the Bronx attending his neighborhood schools. Later on, he faithfully managed Loeser’s De",between Godwin Terrace and Broadway,10463,Koppell,,"MULTILINESTRING ((-73.90492505999998 40.87899018100006, -73.90571899399998 40.879391723000026))",POINT (-73.90532202699998 40.879190952000044),40.879190952000044,-73.90532202699998,64.7%,47%
"MULTILINESTRING ((-73.85692667899997 40.846141515000056, -73.85781717199995 40.84725745900005))",Int. No. 988,07/29/2018,2018,2018/139,Street,Bronx,Joe Blandino Way,Bogart Avenue,Male,"Joe Blandino widely known as Big Joe, was an alumnus of Iona Preparatory School class of 1982, and attained his Bachelor’s degree in Political Science in 1991.  His family lived in the Bronx until they moved to Florida when he was 17 years old. While i",Between Morris Park Avenue and Van Nest Avenue,10462,Gjonaj,,"MULTILINESTRING ((-73.85692667899997 40.846141515000056, -73.85781717199995 40.84725745900005))",POINT (-73.85737192549996 40.84669948700005),40.84669948700005,-73.85737192549996,64.7%,47%
"MULTILINESTRING ((-74.01786638699997 40.706150154000056, -74.01703639199997 40.705814660000044))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Manhattan,Edmond J. Safra Place,First Place,Male,"Edmond J.  Safra was born in Beirut, Lebanon, the third of the eight children of Esther and Jacob Safra.  Jacob Safra was the proprietor of Banque de Credit National, successor to the business of Safra Freres, a merchant banking business that originated",between West Street and the Museum of Jewish Heritage,10004,Gerson,,"MULTILINESTRING ((-74.01786638699997 40.706150154000056, -74.01703639199997 40.705814660000044))",POINT (-74.01745138949995 40.70598240700005),40.70598240700005,-74.01745138949995,53.4%,48%
"MULTILINESTRING ((-73.99680949499998 40.68029991000003, -73.99522967399997 40.679858514000045))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Brooklyn,Salvatore “Buddy” Scotto Way,,Male,"Salvatore “Buddy” Scotto was a U.S. Army Korean War Veteran and was known as the unofficial “Mayor of Carroll Gardens”. He was the second generation owner and funeral director of Scotto Funeral Home in Carroll Gardens, which also served as a meet",At the South East Corner of 1st Place and Court Street from Court Street to Smith Street,11231,Koslowitz,,"MULTILINESTRING ((-73.99680949499998 40.68029991000003, -73.99522967399997 40.679858514000045))",POINT (-73.99601958449998 40.68007921200004),40.68007921200004,-73.99601958449998,66.3%,48%
"MULTILINESTRING ((-73.86592617499997 40.759494578000044, -73.86505811499995 40.75958323200007))",Int. No. 990,12/26/2001,2001,2001/071,Street,Queens,Arthur Hayes Way,32nd Avenue,Male,"The following material was supplied by the Hayes family.  

Arthur Hayes was born on January 3, 1923, to Andrew and Lorena Hayes in Port Arthur, Texas. Mr. Hayes, along with his wife Lillian and his daughter Ann, was a long time resident of the East Elmh",between 103rd Street and 104th Street,11369,"Marshall, Koslowitz and Sabini; also, Council Members O’Donovan and Povman",,"MULTILINESTRING ((-73.86592617499997 40.759494578000044, -73.86505811499995 40.75958323200007))",POINT (-73.86549214499996 40.759538905000056),40.759538905000056,-73.86549214499996,63.1%,49%
"MULTILINESTRING ((-73.94677370099998 40.805802106000044, -73.94533262299996 40.80519118500007))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,"Bishop James P. Roberts, Sr. Way",West 122nd Street,Male,"Bishop Roberts, Sr. immigrated to the United States and settled in Harlem, New York, where he worked as an elevator operator in a commercial building. He became a member of the Holy Cross Cathedral Orthodox Church and at night pursued a degree in theolog",Between Malcolm X Boulevard and Mount Morris Park West,10027,Perkins,,"MULTILINESTRING ((-73.94677370099998 40.805802106000044, -73.94533262299996 40.80519118500007))",POINT (-73.94605316199997 40.80549664550006),40.80549664550006,-73.94605316199997,53.4%,48%
