Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude
"MULTILINESTRING ((-73.97348929299994 40.789574447000064, -73.97088486799998 40.78847784000004))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Manhattan,Ballet Hispánico Way,West 89th Street,Group,"This co-naming will commemorate the legacy of Ballet Hispánico on the Upper West side of Manhattan. Ballet Hispánico was founded in 1970 by Tina Ramirez and has performed for over 2.3 million people at theaters in New York, throughout the United States",Between Columbus Avenue and Amsterdam Avenue,10024,Brewer,,"MULTILINESTRING ((-73.97348929299994 40.789574447000064, -73.97088486799998 40.78847784000004))",POINT (-73.97218708049996 40.78902614350005),40.78902614350005,-73.97218708049996
"MULTILINESTRING ((-73.96225602099997 40.663194375000046, -73.96109194199994 40.66326355100006))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Brooklyn,Malbone Centennial Way,Empire Boulevard,Group,"This co-naming would commemorate the Malbone Street Wreck, a subway derailment that killed 93 people and left hundreds injured on November 1, 1918. The Brooklyn Rapid Transit subway train crashed near the intersection of Malbone Street, Flatbush and Ocea",Between Flatbush Avenue and Washington Avenue,11225,Cumbo,,"MULTILINESTRING ((-73.96225602099997 40.663194375000046, -73.96109194199994 40.66326355100006))",POINT (-73.96167398149996 40.66322896300005),40.66322896300005,-73.96167398149996
"MULTILINESTRING ((-73.97118727399999 40.79270426100004, -73.96862308199997 40.79162801200005))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Manhattan,James and Rina Garst Way,West 94th Street,Male/Female,"James D. Garst was a longtime advocate for affordable housing, serving as founder of the New York State Tenants and Neighbors Coalition, and was a longtime Board member of the Mitchell-Lama Council.  Mr. Garst was also a member of the Merchant Marines.",Between Columbus Avenue and Amsterdam Avenue,10025,Rosenthal,Twice,"MULTILINESTRING ((-73.97118727399999 40.79270426100004, -73.96862308199997 40.79162801200005))",POINT (-73.96990517799998 40.79216613650004),40.79216613650004,-73.96990517799998
"MULTILINESTRING ((-73.99943571299997 40.68408533400003, -73.99968783999998 40.68354734900004))",Int. No. 931-A,04/20/2009,2009,2009/025,Street,Brooklyn,Citizens of Pozzallo Way,Henry Street,Group,The Society of the Citizens of Pozzallo was founded in 1919.  This organization has provided assistance to the poor and underprivileged by promoting the advancement of education and by contributing to other organized institutions of science and medical r,Between Sackett Street and Union Street,11231,DeBlasio,,"MULTILINESTRING ((-73.99943571299997 40.68408533400003, -73.99968783999998 40.68354734900004))",POINT (-73.99956177649997 40.683816341500034),40.683816341500034,-73.99956177649997
"MULTILINESTRING ((-73.93871105899996 40.639136706000045, -73.93847502399996 40.636954795000065))",Int. No. 620,02/05/2015,2015,2015/015,Street,Brooklyn,Pecola and Nicholas Rodriguez Way,East 40th Street,Male/Female,"Pecola Rodriguez (November 28, 1916 – July 26, 2014) worked as a staff nurse in Detroit and later moved to Brooklyn where she worked at Sydenham Hospital in Harlem from 1949 until 1958.  He also worked at Cumberland Hospital in Brooklyn as a Hospital A",Between Foster Avenue and Farragut Road,11203,Williams,,"MULTILINESTRING ((-73.93871105899996 40.639136706000045, -73.93847502399996 40.636954795000065))",POINT (-73.93859304149996 40.638045750500055),40.638045750500055,-73.93859304149996
"MULTILINESTRING ((-73.94203586499998 40.74521647500006, -73.94277615499993 40.74630160400005))",Int. No. 235,08/10/2015,2015,2015/071,Street,Queens,Court Square East,Court Square,Misc,"Int. No. 235 permanently changes the name of Court Square between Thomson Avenue and the Sunnyside Rail Yards to Court Square East and Court Square between Jackson Avenue and the Sunnyside Rail Yards to Court Square West in the borough of Queens, and ame",Between Thomson Avenue and the Sunnyside Rail Yards,11101,Van Bramer,,"MULTILINESTRING ((-73.94203586499998 40.74521647500006, -73.94277615499993 40.74630160400005))",POINT (-73.94240600999996 40.74575903950006),40.74575903950006,-73.94240600999996
"MULTILINESTRING ((-73.99062498599994 40.68921177300007, -73.99028166399995 40.68970964600004))",Int. No. 613,05/09/2005,2005,2005/043,Street,Brooklyn,St. Vincent’s Way,Boerum Place,Group,"St. Vincent’s Services was founded in Brooklyn in 1869 as an orphanage.  In the years since its founding it has expanded its mission to become a multi-service agency that has locations in all five boroughs as well as Long Island, Westchester, Orange an",Between State Street and Atlantic Avenue,11201,Yassky,,"MULTILINESTRING ((-73.99062498599994 40.68921177300007, -73.99028166399995 40.68970964600004))",POINT (-73.99045332499995 40.689460709500054),40.689460709500054,-73.99045332499995
"MULTILINESTRING ((-74.18948708499994 40.592408755000065, -74.19274865099999 40.59052513700004))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Staten Island,Independence Way,Victory Boulevard,Group,"This renames Victory Boulevard to celebrate the Travis Fourth of July Parade route, America’s oldest 4th of July Parade.",between Cannon Avenue and Glen Street,10314,Oddo,,"MULTILINESTRING ((-74.18948708499994 40.592408755000065, -74.19274865099999 40.59052513700004))",POINT (-74.19111786799998 40.591466946000054),40.591466946000054,-74.19111786799998
"MULTILINESTRING ((-73.97890309499996 40.74438875000004, -73.97699336199997 40.74358199300008))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Manhattan,Ms. Magazine Way,East 32nd Street,Group,"Ms. Magazine is an American liberal feminist magazine that is the first periodical to be created, owned and operated entirely by women.  The magazine was founded in 1971 and brought attention to Women’s Rights and domestic violence.",Between Third Avenue and Second Avenue at the southeast corner of East 32nd Street and Third Avenue,10016,Mendez,,"MULTILINESTRING ((-73.97890309499996 40.74438875000004, -73.97699336199997 40.74358199300008))",POINT (-73.97794822849997 40.74398537150006),40.74398537150006,-73.97794822849997
"MULTILINESTRING ((-73.80699742299998 40.690394609000066, -73.80636442199994 40.69093864000007, -73.80566570599996 40.69152842500006, -73.80528986699994 40.69184566800004, -73.80474343099996 40.69230690900008, -73.80445619399995 40.69255376700005, -73.80385952999995 40.69305299300004, -73.80347682499996 40.69338189500007, -73.80308054899996 40.693722458000025, -73.80277368199995 40.69399973900005, -73.80218221499996 40.69449448800003, -73.80129318299998 40.69527207300007, -73.80110780299998 40.69543138600005, -73.80093500599997 40.695575924000025, -73.80051696699996 40.69587431200006, -73.80015175799997 40.69615518400008, -73.79968581299994 40.69648776300005, -73.79903348199997 40.69698944600003, -73.79870560099994 40.69733057000008, -73.79839050899994 40.69762872200005, -73.79816896799997 40.69778684800008, -73.79772368599998 40.69811434500008, -73.79738974999998 40.698287195000034, -73.79704642799999 40.69845496100004, -73.79652473799996 40.698674581000034, -73.79588449799996 40.698944107000045, -73.79563179699994 40.69905048800007, -73.79549365699995 40.699108641000066, -73.79510987299994 40.69921142600003, -73.79466951399996 40.69932936300006, -73.79434410199997 40.69944527800004, -73.79387718799995 40.69964183600007, -73.79355508799995 40.69975657100008, -73.79331815699999 40.69988959500006, -73.79310648799998 40.70004526900004, -73.79290893399997 40.70018626900003, -73.79276365899995 40.700307777000035, -73.79260523899995 40.70044031200007, -73.79239054199996 40.70064345700007, -73.79228148299995 40.70077211800003, -73.79210736599998 40.70097753300007, -73.79206020099997 40.70108018600007, -73.79190463299994 40.70133334900004, -73.79166073699997 40.701587078000045, -73.79156434299995 40.70168735900006, -73.79136605699995 40.701789989000076, -73.79116904099999 40.70187292500003, -73.79088002899994 40.701956593000034, -73.79086751999995 40.70196361600006))",Int. No. 1011,12/02/2013,2013,2013/106,Street,Queens,Tuskegee Airmen Way,South Road,Group,"The Tuskegee Airmen were African American pilots who fought in World War II and were the first African American military aviators in the United States Armed Forces.  Formally, they formed the 332nd Fighter Group and the 477th Bombardment Group of the Uni",Between Merrick Boulevard and Remington Street,11433,"Wills, Chin, Comrie, Dickens, Eugene, James, Koppell, Lander, Mealy, Mendez, Nelson, Palma, Williams, Rodriguez, Mark-Viverito, Vacca and Halloran",,"MULTILINESTRING ((-73.80699742299998 40.690394609000066, -73.80636442199994 40.69093864000007, -73.80566570599996 40.69152842500006, -73.80528986699994 40.69184566800004, -73.80474343099996 40.69230690900008, -73.80445619399995 40.69255376700005, -73.80385952999995 40.69305299300004, -73.80347682499996 40.69338189500007, -73.80308054899996 40.693722458000025, -73.80277368199995 40.69399973900005, -73.80218221499996 40.69449448800003, -73.80129318299998 40.69527207300007, -73.80110780299998 40.69543138600005, -73.80093500599997 40.695575924000025, -73.80051696699996 40.69587431200006, -73.80015175799997 40.69615518400008, -73.79968581299994 40.69648776300005, -73.79903348199997 40.69698944600003, -73.79870560099994 40.69733057000008, -73.79839050899994 40.69762872200005, -73.79816896799997 40.69778684800008, -73.79772368599998 40.69811434500008, -73.79738974999998 40.698287195000034, -73.79704642799999 40.69845496100004, -73.79652473799996 40.698674581000034, -73.79588449799996 40.698944107000045, -73.79563179699994 40.69905048800007, -73.79549365699995 40.699108641000066, -73.79510987299994 40.69921142600003, -73.79466951399996 40.69932936300006, -73.79434410199997 40.69944527800004, -73.79387718799995 40.69964183600007, -73.79355508799995 40.69975657100008, -73.79331815699999 40.69988959500006, -73.79310648799998 40.70004526900004, -73.79290893399997 40.70018626900003, -73.79276365899995 40.700307777000035, -73.79260523899995 40.70044031200007, -73.79239054199996 40.70064345700007, -73.79228148299995 40.70077211800003, -73.79210736599998 40.70097753300007, -73.79206020099997 40.70108018600007, -73.79190463299994 40.70133334900004, -73.79166073699997 40.701587078000045, -73.79156434299995 40.70168735900006, -73.79136605699995 40.701789989000076, -73.79116904099999 40.70187292500003, -73.79088002899994 40.701956593000034, -73.79086751999995 40.70196361600006))",POINT (-73.7990861401597 40.696504538512436),40.696504538512436,-73.7990861401597
"MULTILINESTRING ((-73.82821036199994 40.69072638800003, -73.82669223199997 40.69114940800006))",Int. No. 1825,01/19/2020,2020,2020/026,Street,Queens,Gurdwara Street,97th Avenue,Group,"Sikhism began more than 500 years ago. Since then Sikhs have believed in and practiced justice, freedom and equality for everyone no matter what their gender, race or religion. A gurdwara is a place of assembly and worship for Sikhs. People from all fait",Between Lefferts Boulevard and 117th Street,11419,Adams,,"MULTILINESTRING ((-73.82821036199994 40.69072638800003, -73.82669223199997 40.69114940800006))",POINT (-73.82745129699995 40.69093789800004),40.69093789800004,-73.82745129699995
"MULTILINESTRING ((-74.00578949699997 40.72562588400007, -74.00607261899995 40.72380772900004))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Manhattan,Hudson Square,Varick Street,Misc,This co-naming would honor what used to be known as Hudson Square on Varick Street between Watts Street and Spring Street in Manhattan,Between Watts Street and Spring Street,10013,Bottcher,,"MULTILINESTRING ((-74.00578949699997 40.72562588400007, -74.00607261899995 40.72380772900004))",POINT (-74.00593105799996 40.724716806500055),40.724716806500055,-74.00593105799996
"MULTILINESTRING ((-73.94311711799998 40.793402754000056, -73.94121274999998 40.79262299100003))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Manhattan,Stickball Hall of Fame Place,East 109th Street,Group,For the past seven decades the game of Stickball has been an important team sport throughout many cities in the United States but especially in New York City. Here poor and working class people in various neighborhoods have played the game and in the pro,between 2nd Avenue and 3rd Avenue,10029,Reed,,"MULTILINESTRING ((-73.94311711799998 40.793402754000056, -73.94121274999998 40.79262299100003))",POINT (-73.94216493399998 40.79301287250004),40.79301287250004,-73.94216493399998
"MULTILINESTRING ((-73.89205783199998 40.87804046700006, -73.88975709299996 40.87702644400008))",Int. No. 620,02/05/2015,2015,2015/015,Street,Bronx,Bronx Science Boulevard,205th Street,Group,"This co-naming will commemorate the Bronx High School of Science, founded in 1938.  The school has consistently ranked as one of the top high schools in New York City.",Between Goulden Avenue and Paul Avenue,10468,Cohen,,"MULTILINESTRING ((-73.89205783199998 40.87804046700006, -73.88975709299996 40.87702644400008))",POINT (-73.89090746249997 40.87753345550007),40.87753345550007,-73.89090746249997
"MULTILINESTRING ((-73.88826284299995 40.85474260800004, -73.88930890499995 40.85353549400003))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Bronx,Madonia Road,Arthur Avenue,Group,"Madonia Bakery was established in the Bronx in 1918, selling traditional Italian breads and later expanding to desserts. Through its existence, the bakery has lasted through economic downturns and ownership changes. Still, the bakery draws many foodies a",Between 186th Street and 184th Street,10458,Feliz,,"MULTILINESTRING ((-73.88826284299995 40.85474260800004, -73.88930890499995 40.85353549400003))",POINT (-73.88878587399995 40.85413905100003),40.85413905100003,-73.88878587399995
"MULTILINESTRING ((-73.98124106799997 40.72504454600005, -73.98160316599996 40.72455059600003))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,Avenues for Justice Way,Avenue B,Group,Avenues for Justice formerly known as the Andrew Glover Youth Program has served the Lower East Side for over 40 years having been founded in the 1970's. The organization was originally named in honor of police officer Andrew Glover of the 9th precinct w,Between 6th Street and 7th Street,10009,Rivera,,"MULTILINESTRING ((-73.98124106799997 40.72504454600005, -73.98160316599996 40.72455059600003))",POINT (-73.98142211699997 40.72479757100004),40.72479757100004,-73.98142211699997
"MULTILINESTRING ((-73.94565848399998 40.79622784900005, -73.94343225099993 40.79930892600004))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Manhattan,Paseo Boricua,Park Avenue,Group,This co-naming will commemorate the Puerto Rican community and recognize the contributions that have been made and they continue to make in the future.,Between 111th Street and 116th Street,10029,Ayala,,"MULTILINESTRING ((-73.94565848399998 40.79622784900005, -73.94343225099993 40.79930892600004))",POINT (-73.94454536749996 40.79776838750004),40.79776838750004,-73.94454536749996
"MULTILINESTRING ((-73.96178275399996 40.61267000200007, -73.96099994599996 40.612754464000034))",Int. No. 825,10/10/2008,2008,2008/048,Street,Brooklyn,St. Brendan Way,Avenue O,Group,"St. Brendan’s has been serving the Midwood community of Brooklyn as a Roman Catholic Church since 1907 as a place of worship, education and housing.",Between East 12th Street and East 13th Street,11230,Nelson,,"MULTILINESTRING ((-73.96178275399996 40.61267000200007, -73.96099994599996 40.612754464000034))",POINT (-73.96139134999996 40.61271223300005),40.61271223300005,-73.96139134999996
