Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes
"MULTILINESTRING ((-73.97348929299994 40.789574447000064, -73.97088486799998 40.78847784000004))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Manhattan,Ballet Hispánico Way,West 89th Street,Group,"This co-naming will commemorate the legacy of Ballet Hispánico on the Upper West side of Manhattan. Ballet Hispánico was founded in 1970 by Tina Ramirez and has performed for over 2.3 million people at theaters in New York, throughout the United States",Between Columbus Avenue and Amsterdam Avenue,10024,Brewer,
"MULTILINESTRING ((-73.97119481799996 40.79271447700006, -73.96859039299994 40.79161386000004))",Int. No. 825,10/10/2008,2008,2008/048,Street,Manhattan,James D. Garst Way,South side of West 94th Street,Male,"James D. Garst was a longtime advocate for affordable housing, serving as founder of the New York State Tenants and Neighbors Coalition, and was a longtime Board member of the Mitchell-Lama Council.  Mr. Garst was also a member of the Merchant Marines.",Between Columbus Avenue and Amsterdam Avenue,10025,Brewer,
"MULTILINESTRING ((-73.87603364599994 40.84205561600004, -73.87469254099994 40.84157673900006))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Bronx,Supervising Fire Dispatcher Dennis Patrick O’ Connell Place,East 180th Street,Male,"Dennis Patrick O’ Connell was a lifelong resident of the Bronx and at age 11 became the president of the FDNY Explorer Post 588 and rode with Engine 88 during the “Bronx is Burning Years.”  In 1973, he chose to serve on the FDNY as a Fire Alarm Dis",Between Bronx Park Avenue and Devoe Avenue,10460,Rivera,
"MULTILINESTRING ((-73.78751479699997 40.773209345000055, -73.78742226099996 40.773355594000066, -73.78732972499995 40.77348965500005, -73.78714599399996 40.77366332500003, -73.78694885099998 40.773806526000044, -73.78676109699995 40.77390910300005, -73.78660821099999 40.773982226000044, -73.78637083499996 40.77405839700003, -73.78619917399999 40.77410206800005, -73.78602482999997 40.77412644200007, -73.78587502799996 40.77414738600004))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Queens,Ron Carey Avenue,28th Avenue,Male,Ron Carey was a highly regarded member of his community and influential President of the Teamsters Union who succeeded in championing the rights of union workers and reforming the union to better represent its members.,Between 203rd and 206th Streets,11360,Avella,
"MULTILINESTRING ((-73.96225602099997 40.663194375000046, -73.96109194199994 40.66326355100006))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Brooklyn,Malbone Centennial Way,Empire Boulevard,Group,"This co-naming would commemorate the Malbone Street Wreck, a subway derailment that killed 93 people and left hundreds injured on November 1, 1918. The Brooklyn Rapid Transit subway train crashed near the intersection of Malbone Street, Flatbush and Ocea",Between Flatbush Avenue and Washington Avenue,11225,Cumbo,
"MULTILINESTRING ((-73.89871490799999 40.84388430200005, -73.89935595599997 40.84271351500007, -73.89967414299997 40.842132382000045, -73.90014184399996 40.84132152900003, -73.90055768299999 40.84060058000006, -73.90089990799999 40.83997552500006, -73.90172388199994 40.838546947000054))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Bronx,Marshall C. England Way,Bathgate Avenue,Male,"Marshall C. England was born on October 27, 1932, in Thomasville, Alabama, to Reverend L.T. England, Sr. and Mrs. Daisy Bronx England. He grew up in Alabama and graduated from Alabama A&M University. After serving a hitch in the United States Army, Mr. E",Between the Cross Bronx Expressway and Claremont Parkway,10457,Rivera,
"MULTILINESTRING ((-73.90492505999998 40.87899018100006, -73.90571899399998 40.879391723000026))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Bronx,Chuck Seidner Way,West 231st Street,Male,"Charles “Chuck” Seidner was an old fashioned type of guy, honest, hard working, dedicated and a good family man. Born on October 22, 1942, he later resided in the Bronx attending his neighborhood schools. Later on, he faithfully managed Loeser’s De",between Godwin Terrace and Broadway,10463,Koppell,
"MULTILINESTRING ((-73.85692667899997 40.846141515000056, -73.85781717199995 40.84725745900005))",Int. No. 988,07/29/2018,2018,2018/139,Street,Bronx,Joe Blandino Way,Bogart Avenue,Male,"Joe Blandino widely known as Big Joe, was an alumnus of Iona Preparatory School class of 1982, and attained his Bachelor’s degree in Political Science in 1991.  His family lived in the Bronx until they moved to Florida when he was 17 years old. While i",Between Morris Park Avenue and Van Nest Avenue,10462,Gjonaj,
"MULTILINESTRING ((-73.97118727399999 40.79270426100004, -73.96862308199997 40.79162801200005))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Manhattan,James and Rina Garst Way,West 94th Street,Male/Female,"James D. Garst was a longtime advocate for affordable housing, serving as founder of the New York State Tenants and Neighbors Coalition, and was a longtime Board member of the Mitchell-Lama Council.  Mr. Garst was also a member of the Merchant Marines.",Between Columbus Avenue and Amsterdam Avenue,10025,Rosenthal,Twice
"MULTILINESTRING ((-73.99943571299997 40.68408533400003, -73.99968783999998 40.68354734900004))",Int. No. 931-A,04/20/2009,2009,2009/025,Street,Brooklyn,Citizens of Pozzallo Way,Henry Street,Group,The Society of the Citizens of Pozzallo was founded in 1919.  This organization has provided assistance to the poor and underprivileged by promoting the advancement of education and by contributing to other organized institutions of science and medical r,Between Sackett Street and Union Street,11231,DeBlasio,
